date,precipitation_inches,snowfall_inches,temp_max_f,temp_min_f,weather_condition
2023-01-01,0.00,0.0,54,41,Clear
2023-01-02,0.12,0.0,50,42,Rain
2023-01-03,0.45,0.0,55,45,Heavy Rain
2023-01-04,0.05,0.0,52,43,Light Rain
2023-01-05,0.00,0.0,48,38,Clear
2023-01-06,0.00,0.0,46,36,Clear
2023-01-07,0.00,0.0,44,34,Clear
2023-01-08,0.00,0.0,42,32,Clear
2023-01-09,0.00,0.0,40,30,Clear
2023-01-10,0.00,0.0,43,33,Clear
2023-01-11,0.00,0.0,47,35,Clear
2023-01-12,0.28,0.0,54,42,Rain
2023-01-13,0.15,0.0,48,36,Rain
2023-01-14,0.00,0.0,40,28,Clear
2023-01-15,0.00,0.0,42,30,Clear
2023-01-16,0.00,0.0,45,34,Clear
2023-01-17,0.00,0.0,48,36,Clear
2023-01-18,0.00,0.0,50,38,Clear
2023-01-19,0.32,0.0,46,38,Rain
2023-01-20,0.00,0.0,42,32,Clear
2023-01-21,0.00,0.0,40,30,Clear
2023-01-22,0.55,0.2,38,32,Snow/Rain
2023-01-23,0.10,0.0,42,34,Rain
2023-01-24,0.00,0.0,45,35,Clear
2023-01-25,0.85,0.0,52,40,Heavy Rain
2023-01-26,0.00,0.0,44,32,Clear
2023-01-27,0.00,0.0,42,30,Clear
2023-01-28,0.00,0.0,46,34,Clear
2023-01-29,0.40,0.0,50,38,Rain
2023-01-30,0.00,0.0,48,36,Clear
2023-01-31,0.00,0.0,42,30,Clear
